DateHeure	Group1	Lib	Valeur					
01/01/2018 08:08	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:08	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:10	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:10	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:12	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:12	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:14	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:14	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:16	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:16	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:18	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:18	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:20	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:20	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:22	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:22	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:24	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:24	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:26	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:26	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:28	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:28	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:30	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:30	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:32	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:32	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:34	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:34	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:36	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:36	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:38	Ambiance	CO2 Cours 107	320	320	22		22	320
01/01/2018 08:38	Ambiance	Temp Cours 107	22	FAUX	FAUX		FAUX	FAUX
01/01/2018 08:40	Ambiance	CO2 Cours 107	320	320	22		22	320
