DateHeure,Group1,Lib,Valeur
01/01/2018 10:46:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:46:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:48:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:48:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:50:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:50:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:52:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:52:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:54:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:54:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:56:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:56:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 10:58:00,Ambiance,CO2 Cours 205, 340
01/01/2018 10:58:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:00:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:00:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:02:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:02:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:04:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:04:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:06:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:06:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:08:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:08:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:10:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:10:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:12:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:12:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:14:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:14:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:16:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:16:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:18:00,Ambiance,CO2 Cours 205, 340
01/01/2018 11:18:00,Ambiance,Temp Cours 205," 20,5"
01/01/2018 11:20:00,Ambiance,CO2 Cours 205, 340
